JDLid,name,class,heat
J24708,金子 明日美,Open,1
J20313,森谷 智之,Open,1
J21432,白鳥 健二,Open,1
J22521,大村 久美,Open,2
J22522,田邉 俊介,Open,2
J24707,犬飼 大葵,Open,2
J24706,籔内 豊,Open,3
J23624,勝田 冬樹,Open,3
J19204,清 正憲,Open,3
J19257,八島 伸行,Open,4
J24705,松井 敬太,Open,4
J21408,桃井 良幸,Open,4
J22526,島村 智彦,Open,5
J21409,益子 明,Open,5
J22506,柏田 芳敬,Open,5
J23625,小嶋 祥吾,Open,6
J17032,小池 卓三,Open,6
J21441,三浦 隆穂,Open,6
J24704,横山 寧々,Open,7
J22519,有川 克巳,Open,7
J19232,田向 義和,Open,7
J21422,岡田 晃徳,Open,8
J22505,八代 庸子,Open,8
J21425,上野 豊,Open,8
J23607,内田 圭亮,Open,9
J24703,姫乃 れいな,Open,9
J20330,石田 浩司,Open,9
J24701,榊原 大地,Open,10
J24702,原 豊広,Open,10
J22507,富口 直人,Open,10
J17048,八城 吉徳,Open,11
J23615,小野寺 恭子,Open,11
J23618,遠藤 貴之,Open,11
J19210,岸本 貴子,Open,12
J23603,小澤 修,Open,12
J21423,上野 あすか,Open,12
J23601,森 寛樹,Open,13
,,Open,13
J17018,杉山 健一,Open,13
J17023,松橋 伸行,Open,14
,,Open,14
J21406,横川 智史,Open,14
J23628,大村 楓空,Expert,15
J17013,三浦 喜徳,Expert,15
J19248,石村 圭史,Expert,15
J19205,犬飼 明範,Expert,16
J21402,河野 彰博,Expert,16
J20322 ,久安 孝典,Expert,16
J19250,清水 友理香,Expert,17
J20318,多々良 秀史,Expert,17
J17092,井上 正行,Expert,17
J22527,伊丹 弦,Expert,18
J17009,中村 敦,Expert,18
J19212,犬飼 豊紀,Expert,18
J20303,梅原 麻妃,Expert,19
J19225,岡 貴司,Expert,19
J23605,犬飼 彩咲,Expert,19
 J17040,小山 智彦,Expert,20
J19214,小塚 研采,Expert,20
J22524,Thomas Bitmatta,Expert,20
J18129,高野 奏多,Expert,21
J19206,松留 貴文,Expert,21
J18139,佐藤 姫夏,Expert,21
J21401,中澤 陸斗,Pro,22
J21438,小高 貴博,Pro,22
J21424,松山 侑暉,Pro,22
J20317,山本 悠貴,Pro,23
J21410,橋本 勇希,Pro,23
J17043,高梨 智樹,Pro,23
,,準々決勝Open,24
,,準々決勝Open,24
,,準々決勝Open,24
,,準々決勝Open,25
,,準々決勝Open,25
,,準々決勝Open,25
,,準々決勝Open,26
,,準々決勝Open,26
,,準々決勝Open,26
,,準々決勝Open,27
,,準々決勝Open,27
,,準々決勝Open,27
,,準々決勝Open,28
,,準々決勝Open,28
,,準々決勝Open,28
,,準々決勝Open,29
,,準々決勝Open,29
,,準々決勝Open,29
,,準々決勝Open,30
,,準々決勝Open,30
,,準々決勝Open,30
,,準々決勝Open,31
,,準々決勝Open,31
,,準々決勝Open,31
,,準々決勝Open,32
,,準々決勝Open,32
,,準々決勝Open,32
,,準決勝 Open,33
,,準決勝 Open,33
,,準決勝 Open,33
,,準決勝 Open,34
,,準決勝 Open,34
,,準決勝 Open,34
,,準決勝 Open,35
,,準決勝 Open,35
,,準決勝 Open,35
,,準決勝 Expert,36
,,準決勝 Expert,36
,,準決勝 Expert,36
,,準決勝 Expert,37
,,準決勝 Expert,37
,,準決勝 Expert,37
,,準決勝 Expert,38
,,準決勝 Expert,38
,,準決勝 Expert,38
,,準決勝 Pro,39
,,準決勝 Pro,39
,,準決勝 Pro,39
,,準決勝 Pro,40
,,準決勝 Pro,40
,,準決勝 Pro,40
,,準決勝 Pro,41
,,準決勝 Pro,41
,,準決勝 Pro,41
,,決勝 Open,42
,,決勝 Open,42
,,決勝 Open,42
,,決勝 Expert,43
,,決勝 Expert,43
,,決勝 Expert,43
,,決勝 Pro,44
,,決勝 Pro,44
,,決勝 Pro,44
